x,y,z,nx,ny,nz
1.55816,2.57632,2.68733,1.72036,-4.90161,-0.651362
1.5535,2.57609,2.72766,1.88589,-4.99958,-0.642321
1.54868,2.57563,2.76797,2.04167,-5.09293,-0.63559
1.5437,2.57495,2.80826,2.18768,-5.18163,-0.631169
1.53855,2.57404,2.84853,2.32394,-5.2657,-0.629059
1.53324,2.5729,2.88878,2.45044,-5.34514,-0.629259
1.52777,2.57153,2.92901,2.56718,-5.41994,-0.63177
1.52213,2.56994,2.96923,2.67417,-5.4901,-0.636591
1.51633,2.56812,3.00942,2.77139,-5.55563,-0.643723
1.51036,2.56607,3.0496,2.85885,-5.61652,-0.653166
1.50424,2.5638,3.08976,2.93656,-5.67277,-0.664918
1.49794,2.5613,3.12989,3.00451,-5.72439,-0.678982
1.49149,2.55857,3.17001,3.0627,-5.77138,-0.695356
1.48487,2.55561,3.21011,3.11113,-5.81372,-0.71404
1.47808,2.55243,3.25019,3.1498,-5.85144,-0.735035
1.47114,2.54902,3.29026,3.17871,-5.88451,-0.75834
1.46403,2.54538,3.3303,3.19786,-5.91295,-0.783956
1.45675,2.54151,3.37032,3.20726,-5.93675,-0.811883
1.44932,2.53742,3.41033,3.20689,-5.95592,-0.84212
1.44171,2.5331,3.45031,3.19677,-5.97045,-0.874667
1.43395,2.52856,3.49028,3.17689,-5.98035,-0.909525
1.42602,2.52378,3.53023,3.14725,-5.98561,-0.946694
1.41793,2.51878,3.57016,3.10785,-5.98623,-0.986173
1.40967,2.51355,3.61007,3.0587,-5.98222,-1.02796
1.40123,2.50796,3.64947,3.00699,-5.9711,-1.06666
1.3926,2.50188,3.68787,2.95995,-5.95042,-1.09687
1.38376,2.4953,3.72528,2.91757,-5.92015,-1.11858
1.37473,2.48823,3.76169,2.87985,-5.88032,-1.1318
1.36549,2.48066,3.79711,2.8468,-5.83092,-1.13653
1.35606,2.4726,3.83153,2.81841,-5.77194,-1.13277
1.34643,2.46405,3.86495,2.79468,-5.70339,-1.12052
1.3366,2.455,3.89738,2.77561,-5.62526,-1.09977
1.32657,2.44545,3.92881,2.76121,-5.53757,-1.07053
1.31634,2.43541,3.95924,2.75146,-5.4403,-1.0328
1.30591,2.42488,3.98868,2.74639,-5.33346,-0.986576
1.29528,2.41385,4.01712,2.74597,-5.21705,-0.93186
1.28445,2.40233,4.04457,2.75022,-5.09107,-0.868652
1.27343,2.39031,4.07102,2.75913,-4.95551,-0.796952
1.2622,2.3778,4.09647,2.7727,-4.81038,-0.71676
1.25078,2.3648,4.12092,2.79093,-4.65568,-0.628076
1.23915,2.3513,4.14438,2.81383,-4.49141,-0.530899
1.22733,2.33731,4.16684,2.84139,-4.31756,-0.42523
1.21531,2.32282,4.18831,2.87361,-4.13414,-0.311069
1.20309,2.30784,4.20878,2.9105,-3.94115,-0.188416
1.19066,2.29236,4.22825,2.95204,-3.73859,-0.0572707
1.17805,2.27639,4.24673,2.99825,-3.52645,0.0823669
1.16523,2.25992,4.26421,3.04913,-3.30474,0.230497
1.15221,2.24296,4.28069,3.10466,-3.07346,0.387119
1.27356,2.82314,0.734466,5.12367,-4.32339,-2.13182
1.2784,2.83251,0.765765,5.05915,-4.54823,-2.04662
1.28351,2.84083,0.79737,4.98869,-4.7576,-1.96455
1.28886,2.8481,0.829281,4.91229,-4.95151,-1.88563
1.29448,2.85432,0.861496,4.82996,-5.12994,-1.80986
1.30035,2.85949,0.894018,4.74169,-5.29291,-1.73722
1.30648,2.86361,0.926845,4.64748,-5.44041,-1.66773
1.31286,2.86668,0.959977,4.54733,-5.57245,-1.60138
1.3195,2.86871,0.993415,4.44125,-5.68901,-1.53818
1.32639,2.86968,1.02716,4.32922,-5.79011,-1.47811
1.33354,2.86961,1.06121,4.21126,-5.87574,-1.4212
1.34095,2.86848,1.09556,4.08736,-5.9459,-1.36742
1.34861,2.86631,1.13022,3.95753,-6.00059,-1.31679
1.35653,2.86309,1.16519,3.82175,-6.03982,-1.26929
1.36471,2.85881,1.20046,3.68004,-6.06357,-1.22495
1.37314,2.85349,1.23603,3.53239,-6.07186,-1.18374
1.38183,2.84712,1.27192,3.3788,-6.06468,-1.14568
1.39077,2.8397,1.3081,3.21928,-6.04204,-1.11076
1.39997,2.83124,1.3446,3.05381,-6.00392,-1.07899
1.40942,2.82172,1.3814,2.88241,-5.95034,-1.05036
1.41913,2.81115,1.4185,2.70507,-5.88129,-1.02487
1.4291,2.79953,1.45591,2.52179,-5.79678,-1.00252
1.43932,2.78687,1.49362,2.33258,-5.69679,-0.983317
1.4498,2.77315,1.53164,2.13743,-5.58134,-0.967256
1.46054,2.75839,1.56997,1.93634,-5.45042,-0.954339
1.47153,2.74258,1.6086,1.72931,-5.30403,-0.944565
